content,author
"


长得丑是怎样一种体验？？单位的前台小姐姐离职了，新的还没招来。部门领导让我先去救救急，做一部分前台的工作--整理快递。今天中午吃完饭，我正坐在前台的位子上，愉快地整理着快递，然后我们大老板从外面回来，看到我坐在前台的位子上，说了一句：”卧槽，为什么我的公司沦落到男人来坐前台”，然后通知人事部赶紧招前台，每个月工资加2000，但是要他亲自把关[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭
…
","
微微一笑蛋很疼-
"
"


，我正吃辣条，火辣辣的鼻子尖都冒汗！,小侄馋坏了也想吃，我给他说，太辣，会辣死你的！,小侄眼珠子一转：真的会辣死?,我：是的，我都辣的受不了了！,小侄一把夺过剩下的辣条拿给二哈：姑姑，准备烧水，晚上吃狗肉！！,我擦，，，

","
醉酒舞剑砍疯子.
"
"


胖虎，你哪里去了，各个帽子的，地区的负责任你哪里去了，你给我过来报个到

","
馒头0017
"
"


再次读到  __割__这个 字眼，好怀念。

","
jo独醉
"
"


打电话给4s店说我车坏了送你们那儿修修，跟他说可能不太好修，他说拍张照看看损坏的地方，我给他看了，他让我滚+_+！！

","
腿儿子
"
"


某日.......

","
国际骂人大赛冠军
"
"


救急！还热乎！急事不哥！！！刚才俺们宿舍老大只穿了个内裤，去对面寝室闹事了，特么刚才对面的把内裤送过来了，老大却没回来，我们该怎么办！

","
红糖暖胃不暖心.
"
"


其实糗百完全可以用这次机会把糗百壮大啊，不要在小众人群里，吸取一下段子的教训，在审核方面加大点力度，把人留下来！！！毕竟在这块你是老大哥。一定要把握好这个机会！！！

","
蜡笔不画小新
"
"


想当年糗百一号难求，现如今发个糗事过不了。,这是什么意思？,是我握不住刀了，还是审帖的你飘了？

","
普通的文艺2B靑年…
"
"


这地方不错哦

","
傲慢行一生
"
"


六味地黄丸弱爆了

","
副心
"
"


转发的。神评价啊。一星不亏。

","
-浪裂敢恶
"
"


今天我说鲁迅姓鲁，一个傻子非要跟我争，说鲁迅不姓鲁，我都不知道他的学是怎么上的，广大糗友，你们给我评评理，鲁迅到底姓不姓鲁？？？[生气了][生气了][生气了][生气了]

","
本名经权威认证，仿…
"
"


在我心里,糗百的文化是,污而不黄,安安静静地快乐别人,不骄不躁,糗百的人都是安静的

","
斜叼草的那个少年
"
"


说一真事，和女友异地恋第一次约会开房的时候那时是夏天  都穿的少，我准备了一个套套，和手机放一个口袋，在房间聊天的时候我掏手机看时间，结果……把套套也带出来了，她看了一眼起身就走了，我赶忙一把把她拉住说，你听我解释，她回头用很气愤的眼神看着我，甩了我一句  我去洗澡，然后她真的去洗澡了。

","
三角裤的忧伤
"
"


昨天看了个视频，教做红烧肘子，看的我口水直流，跟老妈撒娇说自己也想吃。下午下班前接到老妈电话，告诉我红烧肘子没有，不过做了红烧排骨，现在她和老爸吃饱了要去逛街，经费还有点紧张……我听立刻转了500给老妈，马不停蹄的赶回家，盯着桌子上吃剩下的排骨棍和一张写着“你减肥！”的纸条目瞪狗呆！

","
缘分&
"
"


儿子6岁跟我们一起睡一个床！,老公很久没在家了昨天回，晚上睡觉之前我喜欢看一会手机！儿子脸对着我似睡非睡的！老公有点按耐不住，大手攀上胸来[色色的]因为被子没盖严手指漏出来了🙈手机光照射下儿子看见了[楚楚可怜]悠悠的来了一句“妈妈谁的手上来了‼️”🙈🙈

",
"


女人真的很悲哀，嫁出去以后，在娘家是客人，在婆家是外人，无处安放的灵魂！不知道还能坚持多久，别逼我放手，我也会走！！！

","
如果月亮有眼
"
"


抓了五次，出了三个

","
污妖王——南风
"
"


谁会玩，，，，

","
醉在MM怀
"
"


本人平时化妆，一天跟闺蜜约好了出去玩，由于春天脸过敏，就没化妆，见了面，我跟她打招呼，她说了一句:“卧槽，我不记得我约了个女鬼啊？！”,尼玛

","
羽浓
"
"


听我爸说，我妈生完我几天，看我在摇篮里睡着了，特别担心，用手给我摇醒了，看我哇哇大哭，这才放心的睡觉去了，关键是，我还哭着呢！

","
偷惢
"
"


说句实话，如果没看到新闻，今天之前我都不知道段子是个啥东西。糗百永远姓糗。

","
 天道愁勤之道
"
"


今天去相亲，女方问什么学历，本着装逼骗个对象的想法说到：当初因为没考上博士才沦落到相亲找对象的地步。女方听完来了精神，一直追问没考上博士的原因，最后是在招架不住，终于说了实话：主要是初中没毕业[doge]

","
请叫我蛋清白白
"
"


这叫天麻？

","
能让我起个名嘛
"
content,author
"


长得丑是怎样一种体验？？单位的前台小姐姐离职了，新的还没招来。部门领导让我先去救救急，做一部分前台的工作--整理快递。今天中午吃完饭，我正坐在前台的位子上，愉快地整理着快递，然后我们大老板从外面回来，看到我坐在前台的位子上，说了一句：”卧槽，为什么我的公司沦落到男人来坐前台”，然后通知人事部赶紧招前台，每个月工资加2000，但是要他亲自把关[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭
…
","
微微一笑蛋很疼-
"
"


，我正吃辣条，火辣辣的鼻子尖都冒汗！,小侄馋坏了也想吃，我给他说，太辣，会辣死你的！,小侄眼珠子一转：真的会辣死?,我：是的，我都辣的受不了了！,小侄一把夺过剩下的辣条拿给二哈：姑姑，准备烧水，晚上吃狗肉！！,我擦，，，

","
醉酒舞剑砍疯子.
"
"


胖虎，你哪里去了，各个帽子的，地区的负责任你哪里去了，你给我过来报个到

","
馒头0017
"
"


再次读到  __割__这个 字眼，好怀念。

","
jo独醉
"
"


打电话给4s店说我车坏了送你们那儿修修，跟他说可能不太好修，他说拍张照看看损坏的地方，我给他看了，他让我滚+_+！！

","
腿儿子
"
"


某日.......

","
国际骂人大赛冠军
"
"


救急！还热乎！急事不哥！！！刚才俺们宿舍老大只穿了个内裤，去对面寝室闹事了，特么刚才对面的把内裤送过来了，老大却没回来，我们该怎么办！

","
红糖暖胃不暖心.
"
"


其实糗百完全可以用这次机会把糗百壮大啊，不要在小众人群里，吸取一下段子的教训，在审核方面加大点力度，把人留下来！！！毕竟在这块你是老大哥。一定要把握好这个机会！！！

","
蜡笔不画小新
"
"


想当年糗百一号难求，现如今发个糗事过不了。,这是什么意思？,是我握不住刀了，还是审帖的你飘了？

","
普通的文艺2B靑年…
"
"


这地方不错哦

","
傲慢行一生
"
"


六味地黄丸弱爆了

","
副心
"
"


转发的。神评价啊。一星不亏。

","
-浪裂敢恶
"
"


今天我说鲁迅姓鲁，一个傻子非要跟我争，说鲁迅不姓鲁，我都不知道他的学是怎么上的，广大糗友，你们给我评评理，鲁迅到底姓不姓鲁？？？[生气了][生气了][生气了][生气了]

","
本名经权威认证，仿…
"
"


在我心里,糗百的文化是,污而不黄,安安静静地快乐别人,不骄不躁,糗百的人都是安静的

","
斜叼草的那个少年
"
"


说一真事，和女友异地恋第一次约会开房的时候那时是夏天  都穿的少，我准备了一个套套，和手机放一个口袋，在房间聊天的时候我掏手机看时间，结果……把套套也带出来了，她看了一眼起身就走了，我赶忙一把把她拉住说，你听我解释，她回头用很气愤的眼神看着我，甩了我一句  我去洗澡，然后她真的去洗澡了。

","
三角裤的忧伤
"
"


昨天看了个视频，教做红烧肘子，看的我口水直流，跟老妈撒娇说自己也想吃。下午下班前接到老妈电话，告诉我红烧肘子没有，不过做了红烧排骨，现在她和老爸吃饱了要去逛街，经费还有点紧张……我听立刻转了500给老妈，马不停蹄的赶回家，盯着桌子上吃剩下的排骨棍和一张写着“你减肥！”的纸条目瞪狗呆！

","
缘分&
"
"


儿子6岁跟我们一起睡一个床！,老公很久没在家了昨天回，晚上睡觉之前我喜欢看一会手机！儿子脸对着我似睡非睡的！老公有点按耐不住，大手攀上胸来[色色的]因为被子没盖严手指漏出来了🙈手机光照射下儿子看见了[楚楚可怜]悠悠的来了一句“妈妈谁的手上来了‼️”🙈🙈

",
"


女人真的很悲哀，嫁出去以后，在娘家是客人，在婆家是外人，无处安放的灵魂！不知道还能坚持多久，别逼我放手，我也会走！！！

","
如果月亮有眼
"
"


抓了五次，出了三个

","
污妖王——南风
"
"


谁会玩，，，，

","
醉在MM怀
"
"


本人平时化妆，一天跟闺蜜约好了出去玩，由于春天脸过敏，就没化妆，见了面，我跟她打招呼，她说了一句:“卧槽，我不记得我约了个女鬼啊？！”,尼玛

","
羽浓
"
"


听我爸说，我妈生完我几天，看我在摇篮里睡着了，特别担心，用手给我摇醒了，看我哇哇大哭，这才放心的睡觉去了，关键是，我还哭着呢！

","
偷惢
"
"


说句实话，如果没看到新闻，今天之前我都不知道段子是个啥东西。糗百永远姓糗。

","
 天道愁勤之道
"
"


今天去相亲，女方问什么学历，本着装逼骗个对象的想法说到：当初因为没考上博士才沦落到相亲找对象的地步。女方听完来了精神，一直追问没考上博士的原因，最后是在招架不住，终于说了实话：主要是初中没毕业[doge]

","
请叫我蛋清白白
"
"


这叫天麻？

","
能让我起个名嘛
"
